Optical Power Monitor,,,,
5.0.4590.776,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 1/6/2024 20:17:20,,,
Sample Interval , 0.5 s,,,
, PM100D 200629114,,,
Type, PM100D,,,
Serialnumber, P0041112,,,
Sensor, S120C,,,
SensorSerialnumber,200629114,,,
Wavelength / Responsivity, 780 nm,,,
,,,,
,,,PM100D 200629114, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
318, 1/6/2024, 20:19:39.875,0.0013878,
319, 1/6/2024, 20:19:39.908,0.0013898,
320, 1/6/2024, 20:19:39.946,0.001388,
321, 1/6/2024, 20:19:39.977,0.0013874,
322, 1/6/2024, 20:19:40.009,0.0013836,
323, 1/6/2024, 20:19:40.526,0.0013841,
324, 1/6/2024, 20:19:41.043,0.0013884,
325, 1/6/2024, 20:19:41.563,0.0013871,
326, 1/6/2024, 20:19:42.083,0.0013867,
327, 1/6/2024, 20:19:42.606,0.001388,
328, 1/6/2024, 20:19:43.125,0.0013854,
329, 1/6/2024, 20:19:43.645,0.0013864,
330, 1/6/2024, 20:19:44.164,0.0013857,
331, 1/6/2024, 20:19:44.683,0.0013871,
332, 1/6/2024, 20:19:45.201,0.0013879,
333, 1/6/2024, 20:19:45.723,0.0013864,
334, 1/6/2024, 20:19:46.243,0.0013866,
335, 1/6/2024, 20:19:46.768,0.0013872,
336, 1/6/2024, 20:19:47.287,0.0013881,
337, 1/6/2024, 20:19:47.804,0.0013876,
338, 1/6/2024, 20:19:48.322,0.0013904,
339, 1/6/2024, 20:19:48.840,0.0013906,
340, 1/6/2024, 20:19:49.359,0.001389,
341, 1/6/2024, 20:19:49.877,0.0013896,
342, 1/6/2024, 20:19:49.909,0.0013904,
343, 1/6/2024, 20:19:49.940,0.0013898,
344, 1/6/2024, 20:19:49.972,0.0013877,
345, 1/6/2024, 20:19:50.003,0.0013916,
346, 1/6/2024, 20:19:50.523,0.001388,
347, 1/6/2024, 20:19:51.043,0.0013888,
348, 1/6/2024, 20:19:51.562,0.0013882,
349, 1/6/2024, 20:19:52.082,0.0013877,
350, 1/6/2024, 20:19:52.599,0.0013871,
351, 1/6/2024, 20:19:53.120,0.0013883,
352, 1/6/2024, 20:19:53.640,0.0013869,
353, 1/6/2024, 20:19:54.165,0.0013886,
354, 1/6/2024, 20:19:54.685,0.0013877,
355, 1/6/2024, 20:19:55.207,0.0013878,
356, 1/6/2024, 20:19:55.730,0.0013873,
357, 1/6/2024, 20:19:56.251,0.0013876,
358, 1/6/2024, 20:19:56.769,0.0013875,
359, 1/6/2024, 20:19:57.295,0.0013872,
360, 1/6/2024, 20:19:57.815,0.001386,
361, 1/6/2024, 20:19:58.335,0.001386,
362, 1/6/2024, 20:19:58.854,0.0013871,
363, 1/6/2024, 20:19:59.372,0.0013881,
364, 1/6/2024, 20:19:59.889,0.0013863,
365, 1/6/2024, 20:19:59.921,0.0013851,
366, 1/6/2024, 20:19:59.952,0.0013883,
367, 1/6/2024, 20:19:59.982,0.0013886,
368, 1/6/2024, 20:20:00.014,0.0013892,
369, 1/6/2024, 20:20:00.533,0.001388,
370, 1/6/2024, 20:20:01.051,0.001388,
371, 1/6/2024, 20:20:01.569,0.0013878,
372, 1/6/2024, 20:20:02.093,0.0013874,
373, 1/6/2024, 20:20:02.612,0.0013867,
374, 1/6/2024, 20:20:03.130,0.0013873,
375, 1/6/2024, 20:20:03.650,0.0013868,
376, 1/6/2024, 20:20:04.168,0.001387,
377, 1/6/2024, 20:20:04.686,0.0013868,
378, 1/6/2024, 20:20:05.208,0.0013865,
379, 1/6/2024, 20:20:05.726,0.0013858,
380, 1/6/2024, 20:20:06.246,0.0013871,
381, 1/6/2024, 20:20:06.770,0.0013869,
382, 1/6/2024, 20:20:07.293,0.0013869,
383, 1/6/2024, 20:20:07.810,0.0013873,
384, 1/6/2024, 20:20:08.327,0.0013847,
385, 1/6/2024, 20:20:08.846,0.0013853,
386, 1/6/2024, 20:20:09.364,0.0013874,
387, 1/6/2024, 20:20:09.885,0.0013872,
388, 1/6/2024, 20:20:09.916,0.001388,
389, 1/6/2024, 20:20:09.947,0.0013892,
390, 1/6/2024, 20:20:09.979,0.0013904,
391, 1/6/2024, 20:20:10.009,0.0013907,
392, 1/6/2024, 20:20:10.530,0.0013865,
393, 1/6/2024, 20:20:11.048,0.0013869,
394, 1/6/2024, 20:20:11.568,0.0013844,
395, 1/6/2024, 20:20:12.086,0.0013851,
396, 1/6/2024, 20:20:12.609,0.0013858,
397, 1/6/2024, 20:20:13.126,0.0013859,
398, 1/6/2024, 20:20:13.645,0.0013841,
399, 1/6/2024, 20:20:14.163,0.0013851,
400, 1/6/2024, 20:20:14.683,0.0013859,
401, 1/6/2024, 20:20:15.205,0.0013863,
402, 1/6/2024, 20:20:15.727,0.0013853,
403, 1/6/2024, 20:20:16.246,0.001387,
404, 1/6/2024, 20:20:16.766,0.0013859,
405, 1/6/2024, 20:20:17.285,0.0013851,
406, 1/6/2024, 20:20:17.804,0.0013855,
407, 1/6/2024, 20:20:18.326,0.0013864,
408, 1/6/2024, 20:20:18.846,0.001385,
409, 1/6/2024, 20:20:19.368,0.0013855,
410, 1/6/2024, 20:20:19.888,0.0013873,
411, 1/6/2024, 20:20:19.920,0.0013839,
412, 1/6/2024, 20:20:19.952,0.0013857,
413, 1/6/2024, 20:20:19.984,0.0013848,
414, 1/6/2024, 20:20:20.016,0.0013854,
415, 1/6/2024, 20:20:20.538,0.0013842,
416, 1/6/2024, 20:20:21.056,0.0013849,
417, 1/6/2024, 20:20:21.580,0.0013858,
418, 1/6/2024, 20:20:22.098,0.0013861,
419, 1/6/2024, 20:20:22.619,0.0013851,
420, 1/6/2024, 20:20:23.136,0.0013856,
421, 1/6/2024, 20:20:23.656,0.0013856,
422, 1/6/2024, 20:20:24.175,0.0013859,
423, 1/6/2024, 20:20:24.695,0.0013861,
424, 1/6/2024, 20:20:25.216,0.0013868,
425, 1/6/2024, 20:20:25.738,0.0013858,
426, 1/6/2024, 20:20:26.256,0.0013861,
427, 1/6/2024, 20:20:26.777,0.0013861,
428, 1/6/2024, 20:20:27.301,0.0013866,
429, 1/6/2024, 20:20:27.821,0.0013858,
430, 1/6/2024, 20:20:28.341,0.0013848,
431, 1/6/2024, 20:20:28.863,0.0013856,
432, 1/6/2024, 20:20:29.383,0.0013845,
433, 1/6/2024, 20:20:29.903,0.0013867,
434, 1/6/2024, 20:20:29.935,0.0013863,
435, 1/6/2024, 20:20:29.971,0.0013848,
436, 1/6/2024, 20:20:30.002,0.0013857,
437, 1/6/2024, 20:20:30.521,0.0013856,
438, 1/6/2024, 20:20:31.042,0.0013854,
439, 1/6/2024, 20:20:31.563,0.0013862,
440, 1/6/2024, 20:20:32.085,0.0013846,
441, 1/6/2024, 20:20:32.606,0.0013853,
442, 1/6/2024, 20:20:33.124,0.0013866,
443, 1/6/2024, 20:20:33.646,0.0013861,
444, 1/6/2024, 20:20:34.163,0.0013861,
445, 1/6/2024, 20:20:34.686,0.0013861,
446, 1/6/2024, 20:20:35.208,0.0013847,
447, 1/6/2024, 20:20:35.730,0.0013857,
448, 1/6/2024, 20:20:36.251,0.0013841,
449, 1/6/2024, 20:20:36.769,0.0013832,
450, 1/6/2024, 20:20:37.289,0.0013842,
451, 1/6/2024, 20:20:37.818,0.0013854,
452, 1/6/2024, 20:20:38.337,0.0013843,
453, 1/6/2024, 20:20:38.856,0.0013843,
454, 1/6/2024, 20:20:39.374,0.0013854,
455, 1/6/2024, 20:20:39.894,0.0013853,
456, 1/6/2024, 20:20:39.925,0.0013871,
457, 1/6/2024, 20:20:39.956,0.0013871,
458, 1/6/2024, 20:20:39.987,0.0013868,
459, 1/6/2024, 20:20:40.019,0.0013857,
460, 1/6/2024, 20:20:40.539,0.0013857,
461, 1/6/2024, 20:20:41.060,0.0013846,
462, 1/6/2024, 20:20:41.580,0.0013855,
463, 1/6/2024, 20:20:42.099,0.0013854,
464, 1/6/2024, 20:20:42.623,0.001383,
465, 1/6/2024, 20:20:43.143,0.0013831,
466, 1/6/2024, 20:20:43.662,0.0013847,
467, 1/6/2024, 20:20:44.181,0.0013849,
468, 1/6/2024, 20:20:44.703,0.0013852,
469, 1/6/2024, 20:20:45.226,0.0013863,
470, 1/6/2024, 20:20:45.748,0.0013861,
471, 1/6/2024, 20:20:46.273,0.001387,
472, 1/6/2024, 20:20:46.792,0.0013864,
473, 1/6/2024, 20:20:47.312,0.0013867,
474, 1/6/2024, 20:20:47.830,0.0013866,
475, 1/6/2024, 20:20:48.353,0.0013876,
476, 1/6/2024, 20:20:48.871,0.001387,
477, 1/6/2024, 20:20:48.902,0.0013877,
478, 1/6/2024, 20:20:48.933,0.0013877,
479, 1/6/2024, 20:20:48.964,0.0013854,
480, 1/6/2024, 20:20:48.995,0.0013863,
481, 1/6/2024, 20:20:49.026,0.0013874,
482, 1/6/2024, 20:20:49.547,0.0013872,
483, 1/6/2024, 20:20:50.065,0.0013863,
484, 1/6/2024, 20:20:50.585,0.0013856,
485, 1/6/2024, 20:20:51.104,0.0013866,
486, 1/6/2024, 20:20:51.624,0.0013866,
487, 1/6/2024, 20:20:52.143,0.0013861,
488, 1/6/2024, 20:20:52.662,0.0013843,
489, 1/6/2024, 20:20:53.182,0.0013853,
490, 1/6/2024, 20:20:53.702,0.0013859,
491, 1/6/2024, 20:20:54.223,0.0013827,
492, 1/6/2024, 20:20:54.744,0.0013833,
493, 1/6/2024, 20:20:55.262,0.0013848,
